Startup,Summary,URL
36h immo,La première plateforme de ventes interactives pour vendre son bien au meilleur prix,NaN
ADN Realty,Agence de marketing digital dédié à la promotion immobilière orienté uniquement sur la performance. Éditeur du CRM Adlead.immo et de la [...],https://www.frenchproptech.fr/startup/adn-realty/
AEGELIM,AEGILIM rend disponible et compréhensible la performance énergétique de vos actifs à l'aide du digital et de vos données. Notre ambition est de [...],https://www.frenchproptech.fr/startup/aegelim/
Airplex,Le recyclage urbain par la surélévation des bâtiments,https://www.frenchproptech.fr/startup/airplex/
Alacaza,"Alacaza est une messagerie augmentée de l'immeuble et du quartier. Inspirée de Slack et de WeChat, Alacaza met à disposition une messagerie [...]",NaN
Allready / LabSense,"Avec sa plateforme Allready.ai, LabSense met la puissance de l'intelligence artificielle au service de vos contenus.",NaN
Anaka,"Atelier Anaka, basé à Voiron, rénove et réhabilite vos espaces de vie avec un service clé en main. Un contrat unique englobe l'ensemble de votre [...]",https://www.frenchproptech.fr/startup/anaka/
APIHOM,Notre solution de DPE prédictif permet d'identifier les gains potentiel en kWh de chaque composant d'un logement.A partir d'un numéro ADEME nous [...],NaN
Apps Habitat,Apps Habitat conçoit des applications mobiles dédiées aux bailleurs sociaux. Notre objectif est de simplifier la relation locataire et de [...],NaN
ARCHIMAID,Une solution de garantie locative sur le principe d'avance de loyers.,NaN
Arlynk,"Alrynk propose une solution globale de solutions 3D, Réalité augmentée et CRM pour l'immobilier neuf et l'urbanisme",NaN
ARTIBOX,Artibox : La 1ère plateforme qui digitalise l’artisanat avec des chantiers signés et prêts à démarrer ! Un plateforme d'intermédiation entre [...],NaN
ASTRALLYS,Facilitez la déclaration et le suivi d'incident sur vos lieux de vie !,https://www.frenchproptech.fr/startup/astrallys/
Atoa.io,"Nous tokenisons des actifs réels et mettons à disposition notre ingénierie légale, règlementaire et technique à des partenaires. Nous [...]",NaN
Attestis,Attestis affiche les permis de construire des maîtres d'ouvrage et les protège des recours.,https://www.frenchproptech.fr/startup/attestis/
Au bon mandat,Nous sommes le 1er courtier d’agences immobilières. Notre approche unique permet de trouver la bonne agence immobilière pour vendre un bien [...],NaN
Audit Virtuel,"La plateforme Régir, simplifie la gestion immobilière et vous fait gagner un temps précieux chaque jour.",https://www.frenchproptech.fr/startup/audit-virtuel/
Avis Locataire,"Accompagner les acteurs du monde l'immobilier (bailleurs, gestionnaires, acteurs du BTP..)  dans la numérisation et l’automatisation de leur pro",NaN
Baltis,Crowdfunding immobilier,NaN
Batela Solutions,"Batela Solutions s’adresse aux gestionnaires d'actif immobilier public ou privé, souhaitant trouver un outil facile pour répertorier les [...]",https://www.frenchproptech.fr/startup/batela-solutions/
